SHOP_ID,MERCHANT_NAME,CARRIER,LABEL_SERVICE,SHIPPING_INTEGRATION_NAME,TRACKING_NUMBER,PKG_WEIGHT_IN_GRAMS,TOTAL_LABEL_RATE_SHOPPER_CURRENCY,TOTAL_LABEL_RATE_USD,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_ZIP,DESTINATION_CITY,DESTINATION_STATE,DESTINATION_ZIP,RETURN_ID,LABEL_CREATED_DATE,LABEL_UPDATE_DATE
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396214334172,1190,7.98,,Wilmington,North Carolina,28405,Pittston,Pennsylvania,18640,92701862,12/4/2025,12/4/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396192285481,4139,7.5,,Dallas,Texas,75229,Arlington,Texas,76015,94101379,12/3/2025,12/3/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396190788117,1871,7.75,,austin,Texas,78702,Arlington,Texas,76015,94106386,12/3/2025,12/3/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396192053745,3486,7.5,,NY,New York,10013,Pittston,Pennsylvania,18640,94217400,12/3/2025,12/3/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396231368449,1871,7.5,,New York,New York,10023,Pittston,Pennsylvania,18640,94224212,12/4/2025,12/4/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396183459945,3316,7.75,,Leesburg,Virginia,20175,Pittston,Pennsylvania,18640,94226092,12/3/2025,12/3/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396199447778,5187,7.98,,Winston-Salem,North Carolina,27104,Pittston,Pennsylvania,18640,94229908,12/3/2025,12/4/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396191982132,11027,11.32,,Foothill Ranch,California,92610,Marysville,California,95901,94235566,12/3/2025,12/3/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396191894111,2324,7.5,,Long Island City,New York,11103,Pittston,Pennsylvania,18640,94310809,12/3/2025,12/3/2025
925,Brooklinen,FedEx,FEDEX_GROUND,EasyPost,396191575184,4564,8.22,,Nashville,Tennessee,37215,Pittston,Pennsylvania,18640,94338939,12/3/2025,12/4/2025
