Weight,Zone(s),,,,,,,,,,,,,,
lbs.,2,3,4,5,6,7,8,9,14,17,22,23,25,92,96
1,6.87,6.96,7.07,8.19,8.64,9.51,9.85,38.56,8.78,38.56,9,13.43,13.86,13.43,13.86
2,6.87,7.07,7.06,8.66,9.77,11,11.68,42.89,8.91,42.89,9.14,15.58,15.79,15.58,15.79
3,6.87,7.06,7.06,9.42,12.03,12.49,13.12,46.61,8.93,46.61,9.18,17.04,17.53,17.04,17.53
4,7.06,7.06,7.12,10.66,12.8,13.64,14.3,51.18,8.99,51.18,9.27,19.19,20.24,19.19,20.24
5,7.06,7.06,7.33,11.37,13.57,14.27,15.08,55.48,9.11,55.48,9.39,21.83,23,21.83,23
6,7.73,7.73,7.73,13.39,13.89,14.64,15.34,59.87,9.12,59.87,9.66,24.59,25.85,24.59,25.85
7,8.34,9.44,9.72,13.75,14.14,15.04,16.09,63.92,9.21,63.92,10.03,27.24,28.68,27.24,28.68
8,8.42,9.9,11.2,14.02,14.55,15.5,16.62,66.42,9.35,66.42,10.39,29.92,31.59,29.92,31.59
9,9.04,10.28,11.66,14.13,14.88,16.13,17.52,71.1,9.53,71.1,10.73,32.59,34.45,32.59,34.45
10,9.4,10.7,11.76,14.51,15.2,17.07,18.68,75.54,9.65,75.54,11.12,35.24,37.37,35.24,37.37
11,11.29,12.51,13.7,14.75,15.78,18.58,19.99,79.55,9.85,79.55,11.46,37.9,40.21,37.9,40.21
12,11.78,13.04,13.84,14.98,16.34,19.33,20.95,82.96,10.03,82.96,11.95,40.47,42.97,40.47,42.97
13,12.31,13.36,14.14,15.38,16.84,20.69,22.28,86.4,10.12,86.4,12.31,42.88,45.61,42.88,45.61
14,12.83,13.59,14.16,15.6,17.81,21.98,23.75,89.98,10.29,89.98,12.71,45.08,48.27,45.08,48.27
15,12.92,14,14.5,16.31,18.81,22.66,25.22,93.29,10.39,93.29,13.1,47.36,50.9,47.36,50.9
16,13.14,14.27,14.67,16.6,19.42,23.82,26.18,97.46,10.49,97.46,13.42,49.47,53.3,49.47,53.3
17,13.25,14.58,14.83,17.07,20.09,24.86,26.19,101.62,10.53,101.62,13.83,51.84,56.07,51.84,56.07
18,13.39,14.76,14.99,17.88,21.15,25.8,28.23,105.82,10.66,105.82,14.22,54.25,58.84,54.25,58.84
19,13.73,15.49,15.76,18.73,21.77,26.37,29.81,110,10.79,110,14.67,56.59,61.59,56.59,61.59
20,13.74,15.49,15.76,19.33,22.51,27.35,30.66,113.67,10.88,113.67,15.04,58.87,64.39,58.87,64.39
21,14.32,16.1,16.6,19.7,23.21,28.12,31.6,116.28,11.01,116.28,15.51,60.93,67.16,60.93,67.16
22,14.32,16.38,17.18,20.24,24.16,29.15,32.99,119.92,11.09,119.92,15.86,62.92,69.81,62.92,69.81
23,14.33,16.57,17.43,20.46,25.07,29.86,34.29,123.53,11.19,123.53,16.28,64.9,72.44,64.9,72.44
24,14.84,17.37,18.47,21.71,26.46,30.86,36.26,127.59,11.2,127.59,16.69,66.84,75.08,66.84,75.08
25,14.85,17.43,18.55,22.14,27.03,32.56,37.37,131.54,11.32,131.54,17.16,68.99,77.67,68.99,77.67
26,15.61,18.03,19.33,23.04,28.01,33.89,38.92,135.7,11.44,135.7,17.61,71.11,80.2,71.11,80.2
27,16.04,18.46,19.71,23.42,29.14,34.52,39.57,139.47,11.6,139.47,18.06,73.16,82.69,73.16,82.69
28,16.42,18.91,20.47,24.61,30.56,36.06,41.09,143.21,11.65,143.21,18.47,75.27,85.21,75.27,85.21
29,16.42,19.26,20.66,24.62,31.43,36.89,42.19,146.74,11.78,146.74,18.93,77.41,87.64,77.41,87.64
30,16.49,19.73,21.44,25.59,31.94,37.07,43.93,150.25,11.83,150.25,19.31,79.51,90.16,79.51,90.16
31,17.33,20.16,22.04,26.12,32.87,38.45,45.34,150.26,11.99,150.26,19.72,81.65,92.55,81.65,92.55
32,17.34,20.17,22.05,26.13,32.88,38.46,45.83,150.78,12.07,150.78,20.03,83.59,94.76,83.59,94.76
33,17.4,20.47,23.04,27.35,34.94,39.72,47.08,153.94,12.16,153.94,20.35,85.52,96.79,85.52,96.79
34,17.41,20.93,23.77,28.3,34.95,40.91,49.33,157.39,12.33,157.39,20.75,87.4,98.72,87.4,98.72
35,17.74,21.88,24.37,28.77,35.55,41.96,49.68,161.29,12.44,161.29,21.16,89.1,100.51,89.1,100.51
36,18,22.05,24.76,29.7,37.04,43.39,51.63,164.73,12.65,164.73,21.49,90.63,102.21,90.63,102.21
37,18.41,22.34,25.02,30.13,37.21,44.79,52.14,168.51,12.66,168.51,21.83,92.16,103.82,92.16,103.82
38,18.56,22.68,25.82,30.86,38.05,44.97,53.11,172.54,12.8,172.54,22.16,93.65,105.53,93.65,105.53
39,19.32,23.57,26.91,32.05,39.78,46.74,54.2,176.26,12.88,176.26,22.47,95.25,107.15,95.25,107.15
40,19.34,23.66,26.92,32.06,39.84,46.74,54.22,180.03,12.99,180.03,22.83,96.79,109,96.79,109
41,19.77,24.67,27.71,33.2,41.67,48.19,56.54,183.14,13.14,183.14,23.13,98.38,110.9,98.38,110.9
42,19.79,24.76,28.78,33.2,41.68,49.01,56.55,186.6,13.47,186.6,23.52,99.88,112.86,99.88,112.86
43,20.15,25.12,28.83,35,44.19,50.78,58.09,190.4,13.54,190.4,23.8,101.37,114.86,101.37,114.86
44,20.44,25.5,29.56,35.62,44.19,52.36,58.69,193.13,13.74,193.13,24.17,102.97,116.75,102.97,116.75
45,20.47,25.51,29.57,35.64,44.21,53.38,59.1,196.85,13.88,196.85,24.47,104.5,118.7,104.5,118.7
46,21.04,25.78,30.52,36.31,45.37,53.96,60.67,200.64,14,200.64,24.82,106.05,120.61,106.05,120.61
47,21.05,26.36,31.01,36.57,46.02,55.01,61.65,204.48,14.22,204.48,25.13,107.65,122.57,107.65,122.57
48,21.06,26.41,31.36,37.9,46.68,55.93,63.1,207.99,14.43,207.99,25.56,109.14,124.53,109.14,124.53
49,21.07,26.42,31.37,37.9,47.38,57.06,63.47,211.55,14.7,211.55,25.96,110.68,126.28,110.68,126.28
50,21.08,26.43,31.38,37.93,47.43,57.12,63.88,215.1,15.12,215.1,26.37,112.26,127.95,112.26,127.95
51,23.66,29.59,35.27,42.79,53.91,65.01,73.68,219.68,15.26,219.68,26.71,113.66,129.61,113.66,129.61
52,23.67,29.6,35.29,42.8,53.92,65.02,73.69,220.13,15.61,220.13,27.2,114.92,131.24,114.92,131.24
53,23.68,29.61,35.3,43.23,53.93,65.02,74.41,223.46,15.76,223.46,27.81,116.21,132.95,116.21,132.95
54,23.69,29.62,35.36,43.31,53.94,65.03,74.42,226.62,16.07,226.62,28.02,117.43,134.57,117.43,134.57
